"clause_text","clause_type","risk_level"
"The Parties mutually agree to indemnify and hold harmless each other from and against any claims, actions, damages, losses or liabilities, including legal fees, incurred by the non-defaulting Party as a direct result of the defaulting Party's breach of its obligations under this Agreement.","Indemnification","high"
"The Indemnifying Party shall not be liable to indemnify the Indemnified Party if the loss or damage arises from the Indemnified Party's own negligence, fraud, wilful misconduct, or failure to mitigate the loss after the event giving rise to the claim.","Indemnification","high"
"The Payment Aggregator shall indemnify the Merchant from all fines, penalties and chargebacks imposed by payment networks or regulators arising from the Payment Aggregator's failure to comply with applicable RBI guidelines and payment industry standards.","Indemnification","high"
"Each Party shall indemnify and keep indemnified the other Party from and against all employment-related claims, demands and liabilities in respect of its own employees or contractors, including claims under the Employees Provident Funds Act, 1952 and Payment of Gratuity Act, 1972.","Indemnification","high"
"The indemnity obligations of the Contractor shall not be limited by any limitation of liability clause in this Agreement in cases of wilful misconduct, fraud, death or personal injury caused by the negligence of the Contractor or its personnel.","Indemnification","high"
"The Concessionaire shall indemnify and hold harmless the Authority from any third-party claims or demands arising out of or in connection with the construction, operation or maintenance of the project, including claims for property damage, personal injury or environmental harm.","Indemnification","high"
"The Seller shall indemnify and hold the Buyer harmless from any tax assessments, penalties or demands raised by any tax authority arising from misrepresentation of the financial statements or tax returns of the target company prior to the date of closing of this transaction.","Indemnification","high"
"Where any third-party claim is made against the Indemnified Party, the Indemnifying Party shall, at its own expense, defend such claim and shall have authority to settle the claim on terms reasonably acceptable to the Indemnified Party, provided the settlement does not impose any obligation on the Indemnified Party.","Indemnification","high"
"The Franchisor shall indemnify the Franchisee from claims arising from product liability related to the Franchisor's supplied products, while the Franchisee shall indemnify the Franchisor from all claims arising from the Franchisee's local operations, staffing and premises.","Indemnification","high"
"The indemnification obligations under this Agreement are in addition to, and not in substitution of, any other rights or remedies available to the Indemnified Party under applicable Indian law, including the right to claim damages under the Indian Contract Act, 1872.","Indemnification","high"
"Neither Party shall be liable for any failure or delay in performing its obligations under this Agreement to the extent that such failure or delay is caused by a Force Majeure Event, being any event beyond the reasonable control of that Party including acts of God, flood, earthquake, cyclone or other natural disasters.","Force Majeure","medium"
"If either Party is prevented from or delayed in performing any of its obligations under this Agreement by reason of circumstances beyond its reasonable control, including fire, flood, earthquake, storm, epidemic, pandemic, war or act of terrorism, such Party shall be excused from performance for the duration of the Force Majeure Event.","Force Majeure","medium"
"In the event that either Party is unable to perform its obligations under this Agreement due to Force Majeure, including acts of God, natural calamities, civil disturbances, strikes, lockouts, government actions or any other cause beyond the reasonable control of the affected Party, such Party shall promptly notify the other Party in writing.","Force Majeure","medium"
"Neither Party shall be in breach of this Agreement or liable for any loss or damage arising from its failure to perform any obligation under this Agreement if such failure is caused by circumstances beyond its reasonable control, including flood, earthquake, cyclone, drought or other natural disasters prevalent in India.","Force Majeure","medium"
"A Party shall not be liable for any delay or non-performance of its contractual obligations if and to the extent such delay or non-performance is caused by a Force Majeure Event, which shall include acts of God, epidemics, pandemics, strikes, lockouts, civil commotion or any directive or order of the Government of India or any State Government.","Force Majeure","medium"
"In accordance with Section 56 of the Indian Contract Act, 1872, if the performance of this Agreement becomes impossible or unlawful due to an event beyond the control of either Party, including natural disasters, war, riot, or any order of a competent court or governmental authority, the obligations of the Parties shall be suspended for the duration of such event.","Force Majeure","medium"
"Neither Party shall be held responsible for any delay or failure in performance of obligations under this Agreement caused directly or indirectly by events beyond such Party's reasonable control, including but not limited to acts of God, floods, earthquakes, tsunamis, landslides, epidemics, pandemics, or any other natural calamity.","Force Majeure","medium"
"If the performance of any obligation under this Agreement is prevented, hindered or delayed by reason of Force Majeure, including acts of God, war, civil war, rebellion, riot, blockade, strike, lockout, fire, flood, storm, cyclone or epidemic, the affected Party shall give immediate notice to the other Party and shall be excused from performance for the period of such Force Majeure.","Force Majeure","medium"
"The obligations of either Party under this Agreement shall be suspended to the extent and for the period that performance is prevented or delayed by Force Majeure, including any act of God, natural disaster, epidemic, pandemic, governmental order, civil unrest or any other event beyond the reasonable control of the affected Party.","Force Majeure","medium"
"No Party shall be deemed to be in default or breach of this Agreement to the extent that performance of its obligations is delayed or prevented by reason of Force Majeure, including fire, explosion, flood, earthquake, cyclone, drought, epidemic, pandemic, strike, lockout or any change in law or governmental regulation.","Force Majeure","medium"
"The affected Party shall notify the other Party in writing within forty-eight (48) hours of the occurrence of a Force Majeure Event and shall use all reasonable endeavours to minimise the effect of such event on the performance of its obligations under this Agreement.","Force Majeure","medium"
"For the purposes of this Agreement, Force Majeure means any event or circumstance beyond the reasonable control of the affected Party, including acts of God, natural disasters, epidemic or pandemic declared by a competent Indian or international authority, war, civil disturbance, terrorist attack, or any order or directive of the Government of India.","Force Majeure","medium"
"If a Force Majeure Event continues for a period exceeding ninety (90) days, either Party may terminate this Agreement by giving thirty (30) days written notice to the other Party without any liability for such termination, save for obligations accrued prior to the occurrence of the Force Majeure Event.","Force Majeure","medium"
"The Party claiming Force Majeure shall bear the burden of proving that the event was beyond its reasonable control, that it could not have been foreseen at the time of execution of this Agreement, and that all reasonable steps to mitigate the impact of the event have been taken.","Force Majeure","medium"
"Neither Party shall be liable for failure to perform its obligations hereunder if such performance is rendered impossible by strike, lockout, labour dispute, acts of God, governmental action, epidemic, power failure, or any other cause beyond the reasonable control of the non-performing Party, provided prompt notice is given.","Force Majeure","medium"
"In the event of Force Majeure affecting the performance of obligations under this Agreement, including but not limited to floods in states such as Assam, Kerala or Bihar, cyclones affecting the eastern or western coasts of India, or earthquakes affecting any part of India, the obligations of the affected Party shall stand suspended.","Force Majeure","medium"
"Either Party shall be excused from performance under this Agreement to the extent its performance is made impracticable by the occurrence of an unforeseeable event beyond such Party's reasonable control, including any order or direction of the Reserve Bank of India, SEBI, Ministry of Finance or any other regulatory authority.","Force Majeure","medium"
"The Force Majeure provisions of this Agreement shall apply to events including but not limited to: (a) natural disasters such as floods, earthquakes, cyclones; (b) epidemic or pandemic declared by the World Health Organisation or the Government of India; (c) war, civil commotion or terrorist attack; (d) nationwide or regional strikes affecting the industry.","Force Majeure","medium"
"Neither Party shall be liable for delays or failures in performance resulting from acts beyond its reasonable control, including Internet or power outages, fires, floods, earthquakes, or acts of any government or governmental body in India or elsewhere that affect the performance of obligations under this Agreement.","Force Majeure","medium"
"If by reason of Force Majeure a Party is unable to perform its obligations under this Agreement, the time for performance shall be extended by the period during which Force Majeure subsists, and no penalty or liquidated damages shall accrue during such period.","Force Majeure","medium"
"In case of a Force Majeure Event, the affected Party shall take all reasonable steps to resume performance as soon as practicable and shall keep the other Party regularly informed of its efforts to overcome the Force Majeure Event and the anticipated date of resumption of performance.","Force Majeure","medium"
"The Parties acknowledge that the performance of obligations under this Agreement may be affected by events beyond their control, including natural disasters, epidemics, pandemics, acts of terrorism, civil unrest or any notification issued by the National Disaster Management Authority of India, and agree to cooperate to minimise the impact of such events.","Force Majeure","medium"
"Neither Party shall be liable to the other for any loss or damage suffered as a result of delay or failure in performance arising from Force Majeure, which for the purposes of this Agreement includes any act of God, natural calamity, epidemic, lockdown imposed by Central or State Government, curfew or any circumstance beyond the reasonable control of that Party.","Force Majeure","medium"
"The obligations of the Parties under this Agreement shall be deemed suspended during the continuance of a Force Majeure Event, and the Parties shall not be liable to each other for any loss, damage or penalty arising from such suspension, provided that all obligations accrued prior to the Force Majeure Event shall remain unaffected.","Force Majeure","medium"
"If performance under this Agreement is prevented or delayed by Force Majeure, including COVID-19 or any future pandemic declared by the Government of India, lockdowns, containment orders, travel restrictions or supply chain disruptions caused by such events, the affected Party shall notify the other Party within seventy-two (72) hours.","Force Majeure","medium"
"For the purpose of this Agreement, the following shall constitute Force Majeure Events: acts of God; natural disasters including earthquakes, floods, cyclones and landslides; epidemic or pandemic; war; civil disturbance; sabotage; explosion; any action by a government authority that prevents or delays performance; and national or state-level strikes.","Force Majeure","medium"
"Neither Party shall be in breach of this Agreement, nor shall it incur any liability to the other Party, if it fails to perform or delays performance of its obligations due to a Force Majeure Event, provided it notifies the other Party and takes reasonable steps to resume performance as soon as the Force Majeure Event subsides.","Force Majeure","medium"
"The Contractor shall not be liable for any delay or failure in completion of the project caused by events beyond its reasonable control, including monsoon flooding, earthquakes, civil unrest, strikes by labour unions, or any directive issued by a court of competent jurisdiction or governmental authority in India.","Force Majeure","medium"
"Notwithstanding any other provision of this Agreement, neither Party shall be in default by reason of any failure in performance if such failure arises out of causes beyond the control and without the fault or negligence of the Party claiming Force Majeure, including acts of God, governmental actions, epidemics or pandemics.","Force Majeure","medium"
"Force Majeure shall not apply to the obligation to pay money due and owing under this Agreement. The affected Party's payment obligations shall survive any Force Majeure Event and shall be discharged as soon as the Force Majeure Event ceases.","Force Majeure","medium"
"If a Force Majeure Event occurs, the affected Party shall: (a) give written notice to the other Party within forty-eight hours; (b) provide evidence of the Force Majeure Event if so requested; (c) use all reasonable endeavours to mitigate the effects; and (d) resume performance as soon as reasonably practicable after the cessation of the event.","Force Majeure","medium"
"The Vendor shall not be liable for any delay in delivery arising from acts beyond its reasonable control, including non-availability of raw materials due to import restrictions imposed by the Government of India, port closures, transport strikes, power cuts, or natural calamities affecting the manufacturing facility.","Force Majeure","medium"
"The term Force Majeure as used in this Agreement means any cause or event that is beyond the reasonable control of the affected Party including lightning, earthquake, flood, storm, cyclone, fire, acts of God, sabotage, accident, epidemic, pandemic, any act of war, strike, lockout or labour dispute.","Force Majeure","medium"
"If performance of any obligation under this Agreement is delayed or made impracticable by any cause beyond a Party's reasonable control, that Party shall promptly notify the other and, where the delay continues for more than sixty (60) days, either Party may elect to terminate the Agreement without liability.","Force Majeure","medium"
"No Party shall be responsible for any loss, delay or failure to perform its obligations under this Agreement caused by events that are beyond the reasonable control of such Party, including acts of God, flood, drought, earthquake, extreme adverse weather conditions, epidemic, pandemic, invasion, act of foreign enemies or hostilities.","Force Majeure","medium"
"In situations where performance is rendered impossible or impracticable due to a Force Majeure Event, the Parties agree to negotiate in good faith to find an equitable solution, and where no solution can be agreed within thirty (30) days, either Party shall be entitled to terminate this Agreement without penalty.","Force Majeure","medium"
"The occurrence of a Force Majeure Event shall not relieve either Party of its obligation to make payments already due under this Agreement. Obligations other than payment obligations shall be suspended for the duration of the Force Majeure Event, subject to prompt notice being given by the affected Party.","Force Majeure","medium"
"For the avoidance of doubt, Force Majeure shall not include: (a) economic hardship or financial difficulties of a Party; (b) changes in market conditions or commodity prices; (c) failure of subcontractors unless caused by an independent Force Majeure Event; or (d) any event that was reasonably foreseeable at the time of execution of this Agreement.","Force Majeure","medium"
"The Parties recognise that India is susceptible to natural disasters including cyclones, floods, earthquakes and drought, and agree that such events, if they directly prevent performance of obligations under this Agreement, shall constitute Force Majeure Events entitling the affected Party to suspension of its obligations during the period of such event.","Force Majeure","medium"
"Where a Force Majeure Event affects only part of the obligations under this Agreement, the affected Party shall continue to perform those obligations not affected by the Force Majeure Event and shall resume full performance as soon as the Force Majeure Event has ceased.","Force Majeure","medium"
"All payments made under this Agreement are exclusive of Goods and Services Tax (GST) unless otherwise stated.","GST","low"
"The Client shall pay the GST at the prevailing rate upon receipt of a valid tax invoice.","GST","low"
"Any GST or similar tax payable on the services shall be borne by the Purchaser.","GST","low"
"The Service Provider shall issue a GST-compliant invoice for all fees and charges.","GST","low"
"If any GST is levied on the transaction, it shall be in addition to the stated consideration.","GST","low"
"The Vendor warrants that it is registered under the GST Act and will remit all collected taxes.","GST","low"
"In the event of a change in GST rates, the prices shall be adjusted accordingly.","GST","low"
"Both Parties shall cooperate to claim input tax credits under the GST regime.","GST","low"
"The Contractor shall indemnify the Employer against any loss of input tax credit due to the Contractor's non-compliance.","GST","low"
"Taxes, including GST, shall be shown separately on all invoices.","GST","low"
"The Buyer shall reimburse the Seller for any GST liability incurred in relation to this Agreement.","GST","low"
"Where GST is applicable, the amount payable shall be increased by the GST amount.","GST","low"
"The Supplier must provide a valid GST invoice within 30 days of supply.","GST","low"
"Any penalty for late payment of GST by the Provider shall be borne by the Provider.","GST","low"
"All prices are quoted exclusive of GST and other applicable statutory levies.","GST","low"
"The stamp duty payable on this Agreement shall be borne equally by both Parties.","StampDuty","low"
"The Lessee shall bear the cost of stamp duty and registration charges for this Lease.","StampDuty","low"
"All stamp duty, registration fees, and similar charges in relation to this deed shall be paid by the Purchaser.","StampDuty","low"
"The Borrower is responsible for paying all stamp duties in connection with the loan documents.","StampDuty","low"
"Any penalty for inadequate stamp duty on this Agreement shall be the responsibility of the First Party.","StampDuty","low"
"This Agreement shall be stamped in accordance with the Indian Stamp Act, 1899.","StampDuty","low"
"The costs of stamping and registering this instrument shall be to the account of the Buyer.","StampDuty","low"
"Each Party shall bear its own legal costs, but stamp duty shall be shared 50:50.","StampDuty","low"
"The Promotor shall pay the applicable stamp duty on the allotment letter.","StampDuty","low"
"If this document is deemed inadequately stamped, the defaulting party shall pay the deficit and penalty.","StampDuty","low"
"The stamp duty for this Leave and License agreement will be paid by the Licensee.","StampDuty","low"
"All duties, including stamp duty and registration fees, are payable by the Developer.","StampDuty","low"
"The cost of stamp paper and franking shall be borne by the Client.","StampDuty","low"
"The Parties agree that the stamp duty on this supplementary agreement shall be paid by the Vendor.","StampDuty","low"
"In case of adjudication of stamp duty, the fees shall be paid by the Purchaser.","StampDuty","low"
"The Parties agree that damages would not be an adequate remedy and the non-breaching Party shall be entitled to specific performance.","SpecificPerformance","high"
"In the event of a breach, the aggrieved Party may seek an order for specific performance of the obligations under this Agreement.","SpecificPerformance","high"
"The Purchaser shall have the right to enforce specific performance of the Seller's obligation to transfer the shares.","SpecificPerformance","high"
"Nothing in this clause shall prejudice the right of the Disclosing Party to seek specific performance of the confidentiality obligations.","SpecificPerformance","high"
"The Parties acknowledge that the subject matter of this Agreement is unique and specific performance is the appropriate remedy for breach.","SpecificPerformance","high"
"The remedy of specific performance shall be available in addition to any other remedies available at law or in equity.","SpecificPerformance","high"
"In case of default by the Developer, the Landowner shall be entitled to seek specific performance of the development obligations.","SpecificPerformance","high"
"The Buyer may, at its sole discretion, choose to seek specific performance instead of terminating the Agreement.","SpecificPerformance","high"
"The defaulting Party waives the defense that damages are an adequate remedy in any action for specific performance.","SpecificPerformance","high"
"The non-defaulting Party shall be entitled to an injunction and/or specific performance to prevent a breach of this Agreement.","SpecificPerformance","high"
"The Parties submit that specific performance is the only adequate remedy for a breach of the exclusivity provisions.","SpecificPerformance","high"
"Any court of competent jurisdiction may order specific performance of the transfer of intellectual property rights.","SpecificPerformance","high"
"Specific performance shall be a cumulative remedy and shall not preclude the recovery of damages.","SpecificPerformance","high"
"The Seller acknowledges that the Property is unique and the Buyer shall be entitled to specific performance.","SpecificPerformance","high"
"The obligations of the Service Provider are such that specific performance may be enforced by the Client.","SpecificPerformance","high"
"The Service Provider shall process personal data strictly in compliance with the Digital Personal Data Protection Act, 2023.","DPDP","high"
"The Data Fiduciary and Data Processor agree to adhere to all obligations under the DPDP Act.","DPDP","high"
"Any breach of personal data shall be reported in accordance with the Digital Personal Data Protection Act.","DPDP","high"
"The Processor shall implement reasonable security safeguards to prevent personal data breach as required by the DPDP Act.","DPDP","high"
"The Parties shall ensure that verifiable consent is obtained from the Data Principal prior to processing personal data.","DPDP","high"
"The Vendor acts as a Data Processor and shall only process personal data on the documented instructions of the Data Fiduciary.","DPDP","high"
"In the event of a data breach, the Processor shall notify the Fiduciary within 24 hours as per DPDP guidelines.","DPDP","high"
"The Client warrants that it has collected the personal data lawfully and obtained the necessary consents under the DPDP Act.","DPDP","high"
"The Data Processor shall assist the Data Fiduciary in fulfilling obligations regarding Data Principals' rights.","DPDP","high"
"No personal data shall be transferred outside India except in compliance with the provisions of the DPDP Act.","DPDP","high"
"The Service Provider shall securely erase all personal data upon termination of the Agreement as required by the DPDP Act.","DPDP","high"
"Both Parties agree to cooperate with the Data Protection Board of India in any inquiry or investigation.","DPDP","high"
"The Processing of children's data shall be done only after obtaining verifiable parental consent as per the DPDP Act.","DPDP","high"
"The Vendor shall indemnify the Client against any penalties imposed by the Data Protection Board due to the Vendor's breach.","DPDP","high"
"The Data Processor shall not engage any sub-processor without the prior written authorisation of the Data Fiduciary.","DPDP","high"
